,Similarity,Emoji Sequence,Target Emoji Sequence
28784,1.0,🙌🙃,🙌🙃
29581,0.93457067,"✨🙌""",🙌🙃
54220,0.9252157,😳🛐,🙌🙃
38791,0.91949207,🤗👏🏼,🙌🙃
25509,0.91867614,"😍🙌""",🙌🙃
34494,0.9179184,"🎪🤡""",🙌🙃
16782,0.91769564,🥰🤣🤣🤣,🙌🙃
38223,0.917657,"🕊🕊🕊🕊""",🙌🙃
50823,0.91734,😭🤞🙏,🙌🙃
29776,0.9170816,✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨,🙌🙃
50239,0.9161407,"🥺💖💖💖""",🙌🙃
32782,0.91482306,"🙈🙉""",🙌🙃
38669,0.9144866,😌🎁,🙌🙃
13325,0.91376436,😼💜,🙌🙃
15224,0.9133539,😅☝,🙌🙃
28017,0.9127907,🙃☕,🙌🙃
58863,0.912265,"💙🌺""",🙌🙃
23296,0.9118599,🎶💎,🙌🙃
10527,0.91163635,🦌🦌🦌,🙌🙃
15181,0.91142255,👍💪👏,🙌🙃
7596,1.0000001,👏⚽,👏⚽
8795,0.85793734,🏆😍,👏⚽
15439,0.8419716,👏🏼👍🏼,👏⚽
8635,0.8368652,💙👏,👏⚽
10086,0.83615464,😎⚽,👏⚽
6610,0.8245517,👏🏻💪🏻,👏⚽
3384,0.817041,💪⚽,👏⚽
11801,0.81249624,🏆🏅,👏⚽
13059,0.8080344,🎧🎙,👏⚽
8262,0.80769074,💚🇳🇬,👏⚽
10040,0.8067969,💪🏻💙,👏⚽
21088,0.80544084,‍🔥👑,👏⚽
14782,0.8047258,🍺⚽,👏⚽
36636,0.80294025,🇲🇽🇲🇽,👏⚽
33469,0.8010576,🚂❤,👏⚽
6659,0.8000349,👏🏼❤,👏⚽
17552,0.79931617,👍🏆,👏⚽
30485,0.7975503,✅🔝,👏⚽
38014,0.79715616,🎄🎅🏼🤶🏼,👏⚽
6412,0.7962575,💪🏻👏🏻,👏⚽
7154,1.0000001,🇵🇹🇵🇹🇵🇹,🇵🇹🇵🇹🇵🇹
14152,0.88110936,🥳🚀,🇵🇹🇵🇹🇵🇹
35242,0.8769244,"🚀✨""",🇵🇹🇵🇹🇵🇹
49010,0.87671566,"🐳🐳🐳""",🇵🇹🇵🇹🇵🇹
21160,0.8757349,😈💪,🇵🇹🇵🇹🇵🇹
24233,0.8723286,😭🥀,🇵🇹🇵🇹🇵🇹
35511,0.8684938,👏😻,🇵🇹🇵🇹🇵🇹
26646,0.8681857,😭😭🤣😂,🇵🇹🇵🇹🇵🇹
11826,0.86787814,💖💖💖💖💖💖💖💖💖💖💖,🇵🇹🇵🇹🇵🇹
23847,0.8645726,🤗🥰❤,🇵🇹🇵🇹🇵🇹
30366,0.86187595,🔥📍,🇵🇹🇵🇹🇵🇹
41747,0.8612742,✌🏾🙏🏾,🇵🇹🇵🇹🇵🇹
19598,0.85959643,😋😈,🇵🇹🇵🇹🇵🇹
18358,0.85957927,💕🙏🏽,🇵🇹🇵🇹🇵🇹
59506,0.8594069,🔥🙏❤,🇵🇹🇵🇹🇵🇹
16473,0.8579597,💰💰💰💰💰💰💰💰,🇵🇹🇵🇹🇵🇹
52344,0.8577258,😍😤,🇵🇹🇵🇹🇵🇹
19741,0.85621345,🐷💚,🇵🇹🇵🇹🇵🇹
19839,0.8559881,😭😭😭😭😭♥,🇵🇹🇵🇹🇵🇹
19098,0.8552118,🗣😂,🇵🇹🇵🇹🇵🇹
58149,0.99999994,🎂🍾🌲,🎂🍾🌲
48250,0.93905276,🌼🌺🌼,🎂🍾🌲
28528,0.9382818,🤣🤣🤣🤣🤣🤣😭😭😭😭😭,🎂🍾🌲
46807,0.93355066,💪🤗🤗🤗,🎂🍾🌲
28314,0.9334601,👈👈👈👈👈👈❤,🎂🍾🌲
57422,0.9321339,💪🥺💪,🎂🍾🌲
34868,0.92984235,👌🏼🤩,🎂🍾🌲
42002,0.9284709,🌹🥰☕,🎂🍾🌲
33186,0.9284356,👅🥒💦,🎂🍾🌲
56579,0.92670226,💛💥,🎂🍾🌲
59263,0.9266902,🙌🏻🙈,🎂🍾🌲
44991,0.9259298,🤎🥰,🎂🍾🌲
55953,0.9244693,🌠💫,🎂🍾🌲
47357,0.9241052,💗🙇🏼‍♀,🎂🍾🌲
41105,0.9239085,🥚🥚🍚,🎂🍾🌲
50253,0.92390186,🧸🐻‍❄,🎂🍾🌲
49648,0.92364776,🦍💯,🎂🍾🌲
59164,0.9235803,🌏👇,🎂🍾🌲
42736,0.92355776,🍲‼,🎂🍾🌲
57282,0.9234407,🇻🇳🇻🇳,🎂🍾🌲
40256,1.0,💪🏼🤜🏼🤛🏼,💪🏼🤜🏼🤛🏼
19229,0.9450758,😀👍👍👍,💪🏼🤜🏼🤛🏼
33664,0.9366792,👍🤷‍♂,💪🏼🤜🏼🤛🏼
21436,0.92904764,"👍🥂""",💪🏼🤜🏼🤛🏼
53966,0.9230336,"😂🙈🙈""",💪🏼🤜🏼🤛🏼
21823,0.92253566,💪🥂,💪🏼🤜🏼🤛🏼
27288,0.92175263,🎉🥳🎉🥳🎉,💪🏼🤜🏼🤛🏼
41408,0.91716576,☝🏻😉,💪🏼🤜🏼🤛🏼
44096,0.91580987,😌🙏🕯,💪🏼🤜🏼🤛🏼
35791,0.9157737,"💖👍""",💪🏼🤜🏼🤛🏼
47032,0.91481674,🤞🏼💐,💪🏼🤜🏼🤛🏼
45507,0.9145776,"""🇳🇱☃",💪🏼🤜🏼🤛🏼
46415,0.91406757,"👍🤞""",💪🏼🤜🏼🤛🏼
58487,0.91371906,😊☕🍀🌹🥳,💪🏼🤜🏼🤛🏼
48716,0.91301453,👍🎄☕,💪🏼🤜🏼🤛🏼
60006,0.9110043,"💖💫🥰""",💪🏼🤜🏼🤛🏼
28725,0.9108092,☕🍀🌫,💪🏼🤜🏼🤛🏼
40264,0.90918756,"💉💉💉💪😷""",💪🏼🤜🏼🤛🏼
19041,0.9078897,🤡🖕🏼,💪🏼🤜🏼🤛🏼
44520,0.907677,👍🤪,💪🏼🤜🏼🤛🏼
7226,1.0000001,😐👍,😐👍
20505,0.89595723,😑🤭,😐👍
48676,0.8878119,💖🤙,😐👍
47930,0.8876658,😎🤌🏻,😐👍
4204,0.8829171,😂😂🙄,😐👍
38327,0.88218254,😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁,😐👍
43406,0.8812317,😅😑,😐👍
25955,0.87993586,😂😂😕,😐👍
27486,0.87831867,😂🍌,😐👍
7223,0.87592316,😂😂😂😂🤝,😐👍
51214,0.87511295,🙁🙄,😐👍
21707,0.87436813,🥺😭😂,😐👍
29466,0.8736679,🥲🥲🥲🥲🥲💔,😐👍
12678,0.87335485,😐😐😐😐😐😐😐😐😐,😐👍
55117,0.8726178,😐😐😑,😐👍
32109,0.87241066,😌😍😂,😐👍
20817,0.8720178,😬😶,😐👍
9497,0.87187964,😐😐😐😐😐😐😐,😐👍
28049,0.8712024,🥲🤝🥲,😐👍
40925,0.87087625,🤌🏻😐,😐👍
13185,1.0000001,😭😭😢😢,😭😭😢😢
12293,0.90314054,💃😂,😭😭😢😢
7898,0.8892237,😭😭😭😂😂😂😂😂😂,😭😭😢😢
21033,0.8827027,🤣👏🏼,😭😭😢😢
59820,0.87917984,😭💔😂😂😂,😭😭😢😢
6606,0.8779556,😂😂💔💔💔,😭😭😢😢
19847,0.87717724,🙏🙏😢,😭😭😢😢
9850,0.87673825,😭😂😂😂😂😂😂😂,😭😭😢😢
56211,0.8762717,🙄🖤,😭😭😢😢
42260,0.8754032,😂😂😂😂😫,😭😭😢😢
46243,0.8749107,🙂✨🖤,😭😭😢😢
21210,0.8745645,🥺👐,😭😭😢😢
19987,0.87411225,🥲🤲,😭😭😢😢
59596,0.8735782,🥺🥺💙💙💙,😭😭😢😢
22701,0.8732572,🕺🏻🔥,😭😭😢😢
17715,0.8711701,😴💔,😭😭😢😢
27572,0.87091744,😃😏,😭😭😢😢
22386,0.87080085,🖤💤,😭😭😢😢
22112,0.87042606,⛑⛑⛑,😭😭😢😢
20739,0.87013423,😂😂😂😭😭😭😭😭😭😭,😭😭😢😢
25597,1.0,🤪👌,🤪👌
28741,0.90448856,☕🌲,🤪👌
44417,0.8998746,🍔☕,🤪👌
46479,0.89321446,✌🏼😼,🤪👌
41592,0.8928283,☕🍫❄,🤪👌
47156,0.8926584,🤗😍🥰😘,🤪👌
13737,0.89245,🌞🌺🌺🌺😘,🤪👌
54758,0.89191145,😡😡😂😂😂😂😂,🤪👌
41842,0.8917765,😛💋,🤪👌
26909,0.88994175,☀☕,🤪👌
9468,0.88908,🙈🙊🙏🏻🙏🏻,🤪👌
18372,0.88736284,🤝✊😊,🤪👌
14917,0.8869388,💗🌷,🤪👌
22500,0.88604003,🎄💝,🤪👌
30430,0.8857077,😭😭😭😭😭💗,🤪👌
7921,0.88523245,👍🤘,🤪👌
60123,0.88459826,"🎶😉""",🤪👌
58319,0.88312054,"❄⛄❄""",🤪👌
45846,0.88306063,💝☃,🤪👌
55787,0.88302654,😀🌞,🤪👌
9944,1.0,👩🏾‍❤,👩🏾‍❤
25299,0.9333751,‍💋‍👨🏾,👩🏾‍❤
22832,0.9038581,😪🤦🏾‍♂,👩🏾‍❤
34953,0.8994976,"💭💭""",👩🏾‍❤
29533,0.8947163,"‍🔥🔥""",👩🏾‍❤
4520,0.89388824,😂🤦🏾‍♀,👩🏾‍❤
14893,0.890572,😭🤦🏽‍♀,👩🏾‍❤
17028,0.8900049,"🙄🤡""",👩🏾‍❤
9331,0.8885078,😭😭😭😂😂😂😂😂😂😂,👩🏾‍❤
4150,0.88746125,🙌🏾❤,👩🏾‍❤
36521,0.8872194,🥰🙇🏽‍♂,👩🏾‍❤
26465,0.88596535,🥵❣,👩🏾‍❤
51999,0.8851904,"😐😤""",👩🏾‍❤
26669,0.8844654,🤣🗣,👩🏾‍❤
12849,0.8833891,"😔✊""",👩🏾‍❤
58883,0.88321286,🥺🥺😭😭😭❤,👩🏾‍❤
28414,0.88298696,🤞🏾🙏🏾,👩🏾‍❤
38816,0.8807465,🙁😕,👩🏾‍❤
45506,0.880716,😰😖,👩🏾‍❤
7864,0.87979454,🤧🥰,👩🏾‍❤
35807,1.0000001,😷🦠💉,😷🦠💉
46847,0.9227608,🇻🇪😷,😷🦠💉
49559,0.92189837,📃🙋‍♂,😷🦠💉
57121,0.921795,🏛🏛,😷🦠💉
46818,0.91840696,🟦🟨🟦,😷🦠💉
20133,0.9148812,📺📻,😷🦠💉
54688,0.91311646,⛴⚓,😷🦠💉
45762,0.9125771,⚽🔝,😷🦠💉
22271,0.91133016,😎👏👏👏,😷🦠💉
27520,0.9107901,"""🟦🟨",😷🦠💉
50780,0.90950114,"""😎🤜♥",😷🦠💉
28148,0.9093948,🖋✒,😷🦠💉
22860,0.9090267,📘✌,😷🦠💉
29795,0.90743697,🟣💼,😷🦠💉
59783,0.9047865,0️⃣0️⃣,😷🦠💉
35261,0.90350705,📰🖊,😷🦠💉
58407,0.90334463,🚨🚒,😷🦠💉
45884,0.9031624,🤓✍🏼,😷🦠💉
59301,0.9030898,🍅🌶,😷🦠💉
59991,0.90267646,🔍👇🏾,😷🦠💉
7113,0.9999999,😂😂😂💔💔💔,😂😂😂💔💔💔
11288,0.9379865,👇😂😂,😂😂😂💔💔💔
9840,0.9377583,😂😂😹,😂😂😂💔💔💔
5427,0.9371022,🤣🤣🤣🤣😂😂,😂😂😂💔💔💔
2403,0.93596774,😂😂😂💔💔,😂😂😂💔💔💔
6597,0.93564975,😂👏🏽,😂😂😂💔💔💔
5456,0.93412596,😭😂💔,😂😂😂💔💔💔
6606,0.9335874,😂😂💔💔💔,😂😂😂💔💔💔
3642,0.93157005,😂😂😂😂😭😭😭😭,😂😂😂💔💔💔
2998,0.92606115,😂😂😂🤝,😂😂😂💔💔💔
6043,0.9260298,😩😩😂😂,😂😂😂💔💔💔
2227,0.92517895,😂😂😂😂😂💔,😂😂😂💔💔💔
6974,0.9251332,😭😭😭🔥,😂😂😂💔💔💔
10388,0.9225256,💔💔😂😂,😂😂😂💔💔💔
12101,0.9204535,😭😭😂💔,😂😂😂💔💔💔
48432,0.9186607,🎵💔,😂😂😂💔💔💔
8845,0.9175542,😂🙆,😂😂😂💔💔💔
7095,0.9174259,😂😂😂😂😂😂😂💔,😂😂😂💔💔💔
6051,0.9149801,😭😭😭😭😭😭😂,😂😂😂💔💔💔
8780,0.9146661,😂🤦🏿‍♂,😂😂😂💔💔💔
21495,0.9999999,👍🥶,👍🥶
54900,0.9170226,💙🤍🎄☃,👍🥶
40289,0.9165192,😃🌞☕,👍🥶
16482,0.9129319,😄🎶,👍🥶
59474,0.90991414,💛☃,👍🥶
21649,0.906224,😆☕,👍🥶
32126,0.9055038,🍀🌷,👍🥶
47485,0.90414,🍰🌹🎼,👍🥶
14374,0.90276194,🧣🧤,👍🥶
23789,0.9023421,🌿☀,👍🥶
10787,0.90229166,😃🌞☀,👍🥶
23513,0.901406,🎅💕,👍🥶
36427,0.9006483,🌈🍀✨,👍🥶
14447,0.89966655,💫❄,👍🥶
17520,0.8979491,❄🎅,👍🥶
48064,0.8966128,🎤🎶✨,👍🥶
24772,0.89623535,💐☃,👍🥶
27375,0.89597666,🌞🌈,👍🥶
22649,0.8948518,⏰⚡,👍🥶
50021,0.8947427,"""👋🏻☕",👍🥶
6891,1.0000001,"😂😂😭😭""","😂😂😭😭"""
3836,0.9087415,😭😭😭🤣🤣,"😂😂😭😭"""
7518,0.9058228,😂😮‍💨,"😂😂😭😭"""
7099,0.9058046,🤧😂😂,"😂😂😭😭"""
11265,0.9054935,🙈😳,"😂😂😭😭"""
16306,0.90482074,🥺🙌🏾,"😂😂😭😭"""
7861,0.9044645,😭🤌🏽,"😂😂😭😭"""
10560,0.9032218,😭🤦🏾‍♀,"😂😂😭😭"""
23461,0.90304154,🤌🥰,"😂😂😭😭"""
6905,0.9018312,👀🙄,"😂😂😭😭"""
11309,0.90113485,"😅😁""","😂😂😭😭"""
6121,0.89997166,😰😭,"😂😂😭😭"""
31969,0.89772284,😖🥲,"😂😂😭😭"""
48360,0.8976052,😭😭😭😂😂😂🤣🤣,"😂😂😭😭"""
10243,0.8967053,😅😹,"😂😂😭😭"""
14018,0.8963826,😏😭,"😂😂😭😭"""
34581,0.89581585,"🥰😎""","😂😂😭😭"""
7530,0.8933202,"💀😭""","😂😂😭😭"""
3299,0.8931914,👀💀,"😂😂😭😭"""
6394,0.89304763,😭🤌🏾,"😂😂😭😭"""
46694,1.0,"😬🤔""","😬🤔"""
38871,0.95287806,🤩🤌🏻,"😬🤔"""
45627,0.95271343,🙏🏽😩,"😬🤔"""
35130,0.9511645,🤡🤯,"😬🤔"""
53814,0.95018685,👀🙅🏾‍♂,"😬🤔"""
58298,0.94917685,🙌🏾🔰,"😬🤔"""
54770,0.94867116,"🔪🔪🔪🔪""","😬🤔"""
59417,0.94852364,"🙏✅""","😬🤔"""
49906,0.94635904,"🤪🤣🤣""","😬🤔"""
22692,0.94615275,😦😦😦😦😦,"😬🤔"""
34469,0.94590205,✨🥴,"😬🤔"""
56493,0.9456432,😂😂😂😂😂😂🙌🏽,"😬🤔"""
28345,0.9452381,😴🤟,"😬🤔"""
60027,0.9451935,😴🥵,"😬🤔"""
42591,0.944546,🤣🤣😝😝,"😬🤔"""
57236,0.94421726,🇵🇹👊,"😬🤔"""
41192,0.9437087,🏆🇵🇹,"😬🤔"""
41060,0.94292676,🌾☃,"😬🤔"""
41947,0.9428218,🤡😴,"😬🤔"""
48688,0.9423122,🙏🏼👊🏼,"😬🤔"""
37574,1.0,🍿🍿🍿🍿🍿🍿🍿🍿,🍿🍿🍿🍿🍿🍿🍿🍿
46895,0.9629735,🌱🍃,🍿🍿🍿🍿🍿🍿🍿🍿
52298,0.9502827,"""😱😱😱😱😱😱😱😱😱",🍿🍿🍿🍿🍿🍿🍿🍿
48014,0.94815016,🎄🍃,🍿🍿🍿🍿🍿🍿🍿🍿
58889,0.94784075,💯🤧,🍿🍿🍿🍿🍿🍿🍿🍿
50937,0.94698054,😈🔥🥵,🍿🍿🍿🍿🍿🍿🍿🍿
54959,0.9457944,👍🏻🤭,🍿🍿🍿🍿🍿🍿🍿🍿
59321,0.9440712,🤣🤣🔥🔥🔥,🍿🍿🍿🍿🍿🍿🍿🍿
44872,0.9431685,🥵🚀🚀,🍿🍿🍿🍿🍿🍿🍿🍿
44300,0.9419051,💦💦😜😜,🍿🍿🍿🍿🍿🍿🍿🍿
38503,0.941824,"""🌍⚽",🍿🍿🍿🍿🍿🍿🍿🍿
46537,0.94144297,"""💬🎙",🍿🍿🍿🍿🍿🍿🍿🍿
31138,0.9410148,🤗😘🙏,🍿🍿🍿🍿🍿🍿🍿🍿
45868,0.9406557,💥😊,🍿🍿🍿🍿🍿🍿🍿🍿
14741,0.9405642,😳🤣🤣🤣🤣🤣,🍿🍿🍿🍿🍿🍿🍿🍿
17297,0.9404186,😂😂😂😂👏👏👏👏,🍿🍿🍿🍿🍿🍿🍿🍿
46399,0.940199,👿👿👿👿👿👿,🍿🍿🍿🍿🍿🍿🍿🍿
53824,0.93993956,😱✨,🍿🍿🍿🍿🍿🍿🍿🍿
53999,0.939754,🥰😻😻,🍿🍿🍿🍿🍿🍿🍿🍿
27602,0.93973124,🙄😚,🍿🍿🍿🍿🍿🍿🍿🍿
48091,0.99999994,🥲💕💕,🥲💕💕
39367,0.94406444,🤭‼,🥲💕💕
18701,0.9424794,😚👍,🥲💕💕
52701,0.93555135,💕✨✨,🥲💕💕
27710,0.9349233,😅💜💜,🥲💕💕
42618,0.9343706,😳💗💗,🥲💕💕
16895,0.93120056,🐿🐿,🥲💕💕
54972,0.93066716,🙇☺,🥲💕💕
15658,0.9294724,😄‼,🥲💕💕
47179,0.928796,👦👦,🥲💕💕
44723,0.9279602,😵⤵,🥲💕💕
30346,0.92789894,😆🌈,🥲💕💕
13776,0.9271774,🎵😍🎵,🥲💕💕
60169,0.92682445,😭😭✨🙏,🥲💕💕
45923,0.9266551,🐶💙💙,🥲💕💕
21271,0.92654836,🐷✨,🥲💕💕
31856,0.92650187,🤭💭,🥲💕💕
11673,0.92543226,❕❕❕❕❕,🥲💕💕
38342,0.9246263,😃🌤,🥲💕💕
29558,0.924572,💚❤💛,🥲💕💕
41437,0.99999994,🌳🌷,🌳🌷
45089,0.93756,🙏💫💫,🌳🌷
39031,0.93513775,🥺🥺😭♥,🌳🌷
46314,0.930672,🌼🌹🌻,🌳🌷
22614,0.926727,🥰😘🌹,🌳🌷
34072,0.92632806,😘😘💜,🌳🌷
35598,0.9254799,✌🙂,🌳🌷
45616,0.9234014,😘👏👏👏👏,🌳🌷
29830,0.92296183,🏆💯,🌳🌷
24914,0.9212137,✌🏻🌹,🌳🌷
55586,0.9195389,🌻🌹🌷,🌳🌷
24143,0.919481,🌸🌸🤍,🌳🌷
44228,0.9192105,🎤🖤,🌳🌷
11796,0.91917765,🌹💚,🌳🌷
19311,0.9190051,🌱❤,🌳🌷
55135,0.9186869,😂😂😭♥,🌳🌷
39187,0.91776663,🙏🎩,🌳🌷
21946,0.9176477,🌺🌻,🌳🌷
23263,0.9170323,💪💪🤗,🌳🌷
55373,0.9159474,🌞🌼,🌳🌷
42779,0.9999999,🐶💩,🐶💩
27120,0.9365301,☺✨✨,🐶💩
46964,0.9284048,🥱💭,🐶💩
58690,0.9278575,😂🤏💔,🐶💩
16232,0.9270804,🐭🐭,🐶💩
37686,0.92580336,🌷🐤,🐶💩
46820,0.92543304,🥰🌹🥰,🐶💩
51242,0.9251459,😋🍺,🐶💩
55460,0.9251404,😭😭👏👏,🐶💩
36500,0.9231153,🚪🚶,🐶💩
19208,0.9231019,🍳✨,🐶💩
42459,0.92244923,🎵🎤,🐶💩
25342,0.9222788,👀❣,🐶💩
40320,0.9216056,🥩💕,🐶💩
32179,0.9210557,🙂💰,🐶💩
42785,0.9208324,🤣🤣🤣😍😍,🐶💩
46443,0.92076916,👍🥴,🐶💩
28314,0.9204702,👈👈👈👈👈👈❤,🐶💩
47886,0.92010975,💦🍌,🐶💩
50486,0.91983914,😍😍😋😋😋😋,🐶💩
44889,0.9999999,"🤩👌""","🤩👌"""
21301,0.9564167,🤣🤣🤣🚮,"🤩👌"""
11085,0.95416284,🙈🖤,"🤩👌"""
40223,0.952488,"💪🏾💯""","🤩👌"""
41859,0.9515111,👀🤡😂,"🤩👌"""
26014,0.9503792,"😂🙌🏽""","🤩👌"""
60183,0.94879717,"👅😍💖🌹💋🥰""","🤩👌"""
36715,0.947934,🕴🏼🦾,"🤩👌"""
29106,0.9474595,🤔🤨🙄,"🤩👌"""
37852,0.94653744,"🔥🔥💯""","🤩👌"""
40680,0.9457844,💯🙌🏾,"🤩👌"""
33057,0.94575167,😊😊🤣🤣,"🤩👌"""
23029,0.9455004,💀🤣🤣🤣🤣,"🤩👌"""
39332,0.94504,🔴🔴🔴🔴🔴🔴,"🤩👌"""
42789,0.9449555,🥰🥰💞,"🤩👌"""
30452,0.9448467,💚🤞,"🤩👌"""
40876,0.9443515,🙏🙏🤞,"🤩👌"""
46784,0.9442532,"🖤🥂""","🤩👌"""
29828,0.94422984,😂😂😂😂😂😂😂🤣🤣🤣🤣,"🤩👌"""
19122,0.9440809,😂😂👏🏾,"🤩👌"""
6911,1.0,🤣🤣🙏,🤣🤣🙏
10793,0.896532,💃✨,🤣🤣🙏
44321,0.89282894,🙏😩😩,🤣🤣🙏
37791,0.89004785,😀😔,🤣🤣🙏
48482,0.88884175,"💔😭😭😭""",🤣🤣🙏
12670,0.8881102,😂😂💯💯,🤣🤣🙏
16280,0.88732684,🔥🤣🤣,🤣🤣🙏
17117,0.8872361,😩🥺😭,🤣🤣🙏
25059,0.8832348,"😂😂😅""",🤣🤣🙏
35420,0.8813732,✊🍻,🤣🤣🙏
43386,0.88088995,✋🏼🥲,🤣🤣🙏
22384,0.88045293,"🤣🤣🤣😭😭😭""",🤣🤣🙏
21123,0.8801753,😂😭😂😂😂,🤣🤣🙏
9834,0.8797033,🥺🤲🏽,🤣🤣🙏
25223,0.87942964,"😔🥲""",🤣🤣🙏
44593,0.8791221,🤩🎉🎁💵,🤣🤣🙏
24998,0.8777538,😩🚮,🤣🤣🙏
39954,0.8776032,😂🐎,🤣🤣🙏
34584,0.877298,📠📠📠📠,🤣🤣🙏
41165,0.87715465,🥺🙄😂,🤣🤣🙏
